date,max_temp,min_temp
2026-09-03,30.9,25.5
2026-09-04,29.2,25.4
2026-09-05,30.0,24.2
2026-09-06,28.1,23.9
2026-09-07,29.6,24.5
2026-09-08,32.3,25.0
2026-09-09,32.3,24.5
2026-09-10,32.4,25.7
