date,max_temp,min_temp,avg_temp
2026-09-10,21.2,11.5,16.35
2026-09-11,25.4,14.9,20.15
2026-09-12,25.7,15.2,20.45
2026-09-13,27.1,17.5,22.3
2026-09-14,28.9,18.2,23.549999999999997
2026-09-15,32.8,17.9,25.349999999999998
2026-09-16,22.0,14.8,18.4
2026-09-17,21.9,13.8,17.85
